1,Chicken Biryani,21.5,195,16.2,4.6
2,Chicken Lasagne,44,610,42,28
3,English Breakfast,37,618,37,37
4,Chole Bhature,75,250,15,20
5,Masoor Dal,30,180,12,5
6,Bagels,53.52,275,10.5,1.6
7,Apple,13.81,52,0.26,0.17
8,Banana,22.84,89,1.09,0.33
9,Orange,15,62,1.2,0.2
10,Pear,27,103,0.6,0.2
